Disease Name,Symptoms,Medicine Name,Dosage Instructions
Typhoid,"Headache, Dizziness, Blurred vision",Omeprazole,Use inhaler as needed
Sinusitis,"Headache, Dizziness, Blurred vision",Artemether,1 tablet every 12 hours
Malaria,"Skin rash, High fever, Bleeding gums",Aspirin,Apply cream twice a day
Hepatitis C,"Headache, Dizziness, Blurred vision",Isoniazid,Take 5ml syrup before bedtime
Hypertension,"Wheezing, Shortness of breath",Rifampin,Use inhaler as needed
Tuberculosis,"Red spots on skin, Fever",Zinc Sulfate,Take 1 tablet every 6 hours
Malaria,"Joint pain, Swelling",Prednisone,Take 2 tablets daily after meals
Hepatitis B,"Swollen salivary glands, Fever",Isoniazid,1 capsule every morning with food
COVID-19,"Sneezing, Sore throat",Prednisone,1 tablet every 12 hours
Hypertension,"Headache, Dizziness, Blurred vision",Artemether,Take before sleep
Dengue,"Shortness of breath, Chest pain",Loratadine,Take 5ml syrup before bedtime
Dengue,"Sneezing, Sore throat",Ibuprofen,1 capsule every morning with food
Asthma,"Cough, Mucus production",Vitamin C,Take with water after meals
Sinusitis,"Nausea, Vomiting, Diarrhea",Artemether,Take before sleep
Hepatitis B,"Abdominal pain, High fever, Loss of appetite",Ventolin,1 capsule every morning with food
Hepatitis C,"Chills, Sweating, Muscle pain",Ventolin,1 capsule every morning with food
Arthritis,"Persistent cough, Weight loss, Night sweats",Vitamin C,Take 2 tablets daily after meals
Sinusitis,"Abdominal pain, High fever, Loss of appetite",Cetirizine,Take 5ml syrup before bedtime
Malaria,"Nausea, Sensitivity to light",Methotrexate,Take before sleep
Arthritis,"Frequent urination, Increased thirst",Amoxicillin,Take 2 tablets daily after meals
Tuberculosis,"Joint pain, Swelling",Ibuprofen,Apply cream twice a day
Food Poisoning,"Headache, Dizziness, Blurred vision",Paracetamol,Take 5ml syrup before bedtime
Food Poisoning,"Fever, Loss of taste/smell",Isoniazid,Take before sleep
Measles,"Chills, Sweating, Muscle pain",Azithromycin,Use inhaler as needed
Pneumonia,"Nausea, Sensitivity to light",Cetirizine,Take 5ml syrup before bedtime
Hepatitis B,"Sneezing, Sore throat",Ventolin,Use inhaler as needed
Mumps,"Fever, Cough, Fatigue",Omeprazole,Apply cream twice a day
Influenza,"Jaundice, Dark urine, Fatigue",Metformin,Take 5ml syrup before bedtime
Food Poisoning,"Headache, Dizziness, Blurred vision",Ibuprofen,Take 2 tablets daily after meals
Common Cold,"Cough, Mucus production",Amoxicillin,Take before sleep
Tuberculosis,"Skin rash, Fever",Losartan,Take before sleep
Influenza,"Nausea, Sensitivity to light",Ibuprofen,Take 1 tablet every 6 hours
Hypertension,"Persistent cough, Weight loss, Night sweats",Losartan,Use inhaler as needed
Hypertension,"Nausea, Sensitivity to light",Chloroquine,Inject once daily
Pneumonia,"Swollen salivary glands, Fever",Aspirin,1 tablet every 12 hours
Arthritis,"Persistent cough, Weight loss, Night sweats",Zinc Sulfate,Take 5ml syrup before bedtime
Chickenpox,"Cough, Mucus production",Losartan,Apply cream twice a day
Hepatitis C,"Cough, Mucus production",Isoniazid,1 capsule every morning with food
Malaria,"Wheezing, Shortness of breath",Azithromycin,1 tablet every 12 hours
Mumps,"Persistent cough, Weight loss, Night sweats",Amoxicillin,Take 2 tablets daily after meals
Chickenpox,"Fever, Loss of taste/smell",Azithromycin,Take with water after meals
Chickenpox,"Facial pain, Runny nose, Headache",Losartan,Inject once daily
Hepatitis C,"Frequent urination, Increased thirst",Isoniazid,1 tablet every 12 hours
Chickenpox,"Fever, Cough, Fatigue",Ibuprofen,Take 5ml syrup before bedtime
Dengue,"Fever, Loss of taste/smell",Losartan,1 capsule every morning with food
Measles,"Frequent urination, Increased thirst",Omeprazole,Take 2 tablets daily after meals
Common Cold,"Facial pain, Runny nose, Headache",Methotrexate,Take before sleep
COVID-19,"Fever, Cough, Fatigue",Loratadine,Apply cream twice a day
COVID-19,"Skin rash, Fever",Metformin,Take before sleep
Hypertension,"Swollen salivary glands, Fever",Cetirizine,Take 2 tablets daily after meals
COVID-19,"Frequent urination, Increased thirst",Rifampin,Apply cream twice a day
Tuberculosis,"Nausea, Sensitivity to light",Losartan,Inject once daily
Dengue,"Fever, Loss of taste/smell",Ibuprofen,Take 5ml syrup before bedtime
Dengue,"Jaundice, Dark urine, Fatigue",Isoniazid,1 tablet every 12 hours
Hepatitis C,"Swollen salivary glands, Fever",Amoxicillin,Take 1 tablet every 6 hours
Arthritis,"Jaundice, Dark urine, Fatigue",Aspirin,Take 2 tablets daily after meals
Migraine,"Fever, Cough, Fatigue",Losartan,Take 1 tablet every 6 hours
Pneumonia,"Sneezing, Sore throat",Zinc Sulfate,Inject once daily
Asthma,"Cough, Mucus production",Ventolin,Take 2 tablets daily after meals
Tuberculosis,"Chills, Sweating, Muscle pain",Doxycycline,1 tablet every 12 hours
Dengue,"Sneezing, Sore throat",Chloroquine,Take 2 tablets daily after meals
Sinusitis,"Nausea, Vomiting, Diarrhea",Artemether,Take 1 tablet every 6 hours
Pneumonia,"Jaundice, Dark urine, Fatigue",Loratadine,Take with water after meals
Hepatitis C,"Skin rash, Fever",Omeprazole,Take before sleep
COVID-19,"Red spots on skin, Fever",Zinc Sulfate,1 tablet every 12 hours
Influenza,"Skin rash, Fever",Zinc Sulfate,Inject once daily
Chickenpox,"Frequent urination, Increased thirst",Doxycycline,Take 5ml syrup before bedtime
Hypertension,"Abdominal pain, High fever, Loss of appetite",Loratadine,Take 2 tablets daily after meals
Sinusitis,"Headache, Dizziness, Blurred vision",Amoxicillin,Take 1 tablet every 6 hours
Chickenpox,"Cough, Mucus production",Vitamin C,Take with water after meals
Typhoid,"Jaundice, Dark urine, Fatigue",Azithromycin,Take 1 tablet every 6 hours
COVID-19,"Skin rash, Fever",Losartan,1 tablet every 12 hours
Bronchitis,"Wheezing, Shortness of breath",Artemether,Take before sleep
Dengue,"Persistent cough, Weight loss, Night sweats",Vitamin C,Take before sleep
Sinusitis,"Headache, Dizziness, Blurred vision",Ibuprofen,1 capsule every morning with food
Influenza,"Chills, Sweating, Muscle pain",Cetirizine,Take before sleep
Common Cold,"Fever, Cough, Fatigue",Zinc Sulfate,Take 5ml syrup before bedtime
Mumps,"Skin rash, High fever, Bleeding gums",Zinc Sulfate,Take 5ml syrup before bedtime
Hypertension,"Facial pain, Runny nose, Headache",Amoxicillin,Inject once daily
Hepatitis B,"Chills, Sweating, Muscle pain",Prednisone,Take before sleep
Influenza,"Facial pain, Runny nose, Headache",Zinc Sulfate,Take with water after meals
Migraine,"Fever, Cough, Fatigue",Azithromycin,Take with water after meals
Asthma,"Facial pain, Runny nose, Headache",Isoniazid,Use inhaler as needed
Typhoid,"Persistent cough, Weight loss, Night sweats",Isoniazid,Take 2 tablets daily after meals
Hepatitis B,"Cough, Mucus production",Doxycycline,Inject once daily
Sinusitis,"Nausea, Vomiting, Diarrhea",Cetirizine,Apply cream twice a day
Arthritis,"Nausea, Sensitivity to light",Metformin,1 capsule every morning with food
Dengue,"Wheezing, Shortness of breath",Zinc Sulfate,Take with water after meals
COVID-19,"Jaundice, Dark urine, Fatigue",Amoxicillin,Take 5ml syrup before bedtime
Mumps,"Red spots on skin, Fever",Omeprazole,Take 5ml syrup before bedtime
Hepatitis C,"Headache, Dizziness, Blurred vision",Doxycycline,Use inhaler as needed
Sinusitis,"Fever, Loss of taste/smell",Amoxicillin,Take 2 tablets daily after meals
Measles,"Cough, Mucus production",Loratadine,Take with water after meals
Migraine,"Wheezing, Shortness of breath",Doxycycline,Take before sleep
Mumps,"Jaundice, Dark urine, Fatigue",Zinc Sulfate,Take with water after meals
Migraine,"Nausea, Vomiting, Diarrhea",Aspirin,Apply cream twice a day
Mumps,"Skin rash, Fever",Zinc Sulfate,1 capsule every morning with food
Arthritis,"Cough, Mucus production",Losartan,Take with water after meals
Influenza,"Fever, Loss of taste/smell",Amoxicillin,Take with water after meals
Dengue,"Fever, Cough, Fatigue",Ventolin,1 tablet every 12 hours
Tuberculosis,"Joint pain, Swelling",Azithromycin,1 capsule every morning with food
Typhoid,"Red spots on skin, Fever",Prednisone,Use inhaler as needed
Food Poisoning,"Fever, Loss of taste/smell",Isoniazid,Take before sleep
Hepatitis C,"Nausea, Sensitivity to light",Azithromycin,Take 5ml syrup before bedtime
Arthritis,"Nausea, Vomiting, Diarrhea",Vitamin C,Take with water after meals
Typhoid,"Nausea, Sensitivity to light",Zinc Sulfate,Take 5ml syrup before bedtime
Arthritis,"Cough, Mucus production",Azithromycin,Take 2 tablets daily after meals
Measles,"Sneezing, Sore throat",Paracetamol,Inject once daily
COVID-19,"Swollen salivary glands, Fever",Azithromycin,Take 5ml syrup before bedtime
Hepatitis B,"Nausea, Vomiting, Diarrhea",Azithromycin,Inject once daily
Typhoid,"Nausea, Sensitivity to light",Hydroxychloroquine,Take 2 tablets daily after meals
Common Cold,"Jaundice, Dark urine, Fatigue",Methotrexate,Take 1 tablet every 6 hours
Measles,"Nausea, Sensitivity to light",Artemether,Use inhaler as needed
Arthritis,"Nausea, Sensitivity to light",Paracetamol,Apply cream twice a day
Asthma,"Cough, Mucus production",Azithromycin,Take 1 tablet every 6 hours
Measles,"Persistent cough, Weight loss, Night sweats",Chloroquine,Take 2 tablets daily after meals
Hepatitis B,"Skin rash, High fever, Bleeding gums",Zinc Sulfate,1 tablet every 12 hours
Pneumonia,"Shortness of breath, Chest pain",Ibuprofen,Take 1 tablet every 6 hours
Dengue,"Wheezing, Shortness of breath",Amoxicillin,Take with water after meals
Chickenpox,"Shortness of breath, Chest pain",Metformin,Take before sleep
Measles,"Swollen salivary glands, Fever",Azithromycin,1 capsule every morning with food
Dengue,"Nausea, Sensitivity to light",Ventolin,1 capsule every morning with food
Pneumonia,"Shortness of breath, Chest pain",Zinc Sulfate,Take with water after meals
Bronchitis,"Red spots on skin, Fever",Aspirin,Take before sleep
Arthritis,"Cough, Mucus production",Vitamin C,Use inhaler as needed
Hepatitis B,"Sneezing, Sore throat",Losartan,Apply cream twice a day
Hepatitis C,"Wheezing, Shortness of breath",Hydroxychloroquine,Take 5ml syrup before bedtime
Sinusitis,"Swollen salivary glands, Fever",Zinc Sulfate,Apply cream twice a day
Common Cold,"Joint pain, Swelling",Losartan,Inject once daily
Measles,"Persistent cough, Weight loss, Night sweats",Aspirin,Inject once daily
Sinusitis,"Persistent cough, Weight loss, Night sweats",Ibuprofen,Apply cream twice a day
Chickenpox,"Chills, Sweating, Muscle pain",Ibuprofen,Apply cream twice a day
Hypertension,"Cough, Mucus production",Hydroxychloroquine,Take 1 tablet every 6 hours
Sinusitis,"Fever, Loss of taste/smell",Methotrexate,Apply cream twice a day
Chickenpox,"Facial pain, Runny nose, Headache",Doxycycline,1 tablet every 12 hours
Measles,"Persistent cough, Weight loss, Night sweats",Isoniazid,1 tablet every 12 hours
Bronchitis,"Wheezing, Shortness of breath",Losartan,Use inhaler as needed
Asthma,"Wheezing, Shortness of breath",Losartan,1 tablet every 12 hours
Chickenpox,"Persistent cough, Weight loss, Night sweats",Metformin,Take before sleep
Bronchitis,"Cough, Mucus production",Metformin,1 capsule every morning with food
Tuberculosis,"Cough, Mucus production",Loratadine,Apply cream twice a day
COVID-19,"Jaundice, Dark urine, Fatigue",Doxycycline,Apply cream twice a day
Bronchitis,"Swollen salivary glands, Fever",Loratadine,Take 2 tablets daily after meals
Influenza,"Fever, Cough, Fatigue",Loratadine,Take 5ml syrup before bedtime
COVID-19,"Facial pain, Runny nose, Headache",Ventolin,Take 5ml syrup before bedtime
Chickenpox,"Wheezing, Shortness of breath",Vitamin C,Take with water after meals
Arthritis,"Persistent cough, Weight loss, Night sweats",Omeprazole,Take 1 tablet every 6 hours
Sinusitis,"Jaundice, Dark urine, Fatigue",Methotrexate,1 capsule every morning with food
Influenza,"Persistent cough, Weight loss, Night sweats",Omeprazole,Inject once daily
Food Poisoning,"Red spots on skin, Fever",Zinc Sulfate,Use inhaler as needed
Common Cold,"Nausea, Sensitivity to light",Losartan,1 tablet every 12 hours
Hepatitis B,"Persistent cough, Weight loss, Night sweats",Cetirizine,Take 5ml syrup before bedtime
Hepatitis C,"Skin rash, High fever, Bleeding gums",Amoxicillin,Inject once daily
Dengue,"Fever, Cough, Fatigue",Losartan,Take 5ml syrup before bedtime
Tuberculosis,"Chills, Sweating, Muscle pain",Ventolin,Use inhaler as needed
Arthritis,"Abdominal pain, High fever, Loss of appetite",Cetirizine,Take 5ml syrup before bedtime
Dengue,"Sneezing, Sore throat",Azithromycin,1 capsule every morning with food
Diabetes,"Fever, Cough, Fatigue",Azithromycin,Apply cream twice a day
Malaria,"Skin rash, Fever",Aspirin,Apply cream twice a day
Hepatitis C,"Shortness of breath, Chest pain",Vitamin C,Use inhaler as needed
Influenza,"Joint pain, Swelling",Ventolin,Apply cream twice a day
Typhoid,"Swollen salivary glands, Fever",Aspirin,Take with water after meals
Sinusitis,"Red spots on skin, Fever",Isoniazid,Take before sleep
Arthritis,"Red spots on skin, Fever",Hydroxychloroquine,Inject once daily
Hypertension,"Red spots on skin, Fever",Prednisone,1 capsule every morning with food
Sinusitis,"Fever, Loss of taste/smell",Rifampin,Take 2 tablets daily after meals
Hepatitis C,"Red spots on skin, Fever",Isoniazid,1 capsule every morning with food
Influenza,"Facial pain, Runny nose, Headache",Doxycycline,Take 1 tablet every 6 hours
Influenza,"Nausea, Sensitivity to light",Artemether,Take with water after meals
Influenza,"Nausea, Vomiting, Diarrhea",Hydroxychloroquine,Inject once daily
Asthma,"Fever, Loss of taste/smell",Loratadine,Inject once daily
Hepatitis B,"Joint pain, Swelling",Azithromycin,Take 5ml syrup before bedtime
Hepatitis C,"Skin rash, High fever, Bleeding gums",Ibuprofen,1 tablet every 12 hours
Measles,"Jaundice, Dark urine, Fatigue",Aspirin,Inject once daily
Bronchitis,"Cough, Mucus production",Vitamin C,Take 5ml syrup before bedtime
Typhoid,"Jaundice, Dark urine, Fatigue",Ventolin,1 capsule every morning with food
Malaria,"Cough, Mucus production",Omeprazole,Take with water after meals
Tuberculosis,"Fever, Cough, Fatigue",Doxycycline,Take before sleep
Typhoid,"Skin rash, Fever",Omeprazole,Take before sleep
Asthma,"Chills, Sweating, Muscle pain",Ventolin,Take 1 tablet every 6 hours
Food Poisoning,"Skin rash, Fever",Amoxicillin,Take 1 tablet every 6 hours
Typhoid,"Red spots on skin, Fever",Ventolin,Take with water after meals
Mumps,"Red spots on skin, Fever",Amoxicillin,Take before sleep
Bronchitis,"Sneezing, Sore throat",Rifampin,1 tablet every 12 hours
COVID-19,"Nausea, Vomiting, Diarrhea",Cetirizine,Inject once daily
Hypertension,"Nausea, Vomiting, Diarrhea",Aspirin,Take with water after meals
Chickenpox,"Frequent urination, Increased thirst",Ibuprofen,Take 2 tablets daily after meals
Measles,"Nausea, Sensitivity to light",Ibuprofen,Use inhaler as needed
Common Cold,"Nausea, Vomiting, Diarrhea",Artemether,Apply cream twice a day
Food Poisoning,"Nausea, Vomiting, Diarrhea",Rifampin,Take 5ml syrup before bedtime
Hepatitis C,"Jaundice, Dark urine, Fatigue",Ventolin,Take 5ml syrup before bedtime
Malaria,"Facial pain, Runny nose, Headache",Paracetamol,Apply cream twice a day
Pneumonia,"Red spots on skin, Fever",Doxycycline,1 capsule every morning with food
Food Poisoning,"Persistent cough, Weight loss, Night sweats",Aspirin,Use inhaler as needed
Malaria,"Jaundice, Dark urine, Fatigue",Hydroxychloroquine,1 capsule every morning with food
Dengue,"Nausea, Vomiting, Diarrhea",Losartan,Take before sleep
Mumps,"Abdominal pain, High fever, Loss of appetite",Ibuprofen,1 tablet every 12 hours
Bronchitis,"Skin rash, Fever",Metformin,1 tablet every 12 hours
Malaria,"Chills, Sweating, Muscle pain",Ibuprofen,Inject once daily
Hepatitis B,"Nausea, Sensitivity to light",Azithromycin,Take 1 tablet every 6 hours
Sinusitis,"Abdominal pain, High fever, Loss of appetite",Paracetamol,Take with water after meals
Dengue,"Fever, Cough, Fatigue",Cetirizine,Take 2 tablets daily after meals
Influenza,"Cough, Mucus production",Zinc Sulfate,Take 2 tablets daily after meals
Measles,"Frequent urination, Increased thirst",Aspirin,1 tablet every 12 hours
Sinusitis,"Cough, Mucus production",Artemether,Apply cream twice a day
Bronchitis,"Sneezing, Sore throat",Aspirin,Take with water after meals
COVID-19,"Red spots on skin, Fever",Rifampin,Use inhaler as needed
Influenza,"Chills, Sweating, Muscle pain",Aspirin,Take with water after meals
Dengue,"Joint pain, Swelling",Aspirin,Use inhaler as needed
Diabetes,"Cough, Mucus production",Zinc Sulfate,Take 1 tablet every 6 hours
Mumps,"Nausea, Sensitivity to light",Amoxicillin,Take 2 tablets daily after meals
Migraine,"Swollen salivary glands, Fever",Loratadine,Inject once daily
Tuberculosis,"Skin rash, High fever, Bleeding gums",Omeprazole,Apply cream twice a day
Hepatitis B,"Skin rash, Fever",Metformin,Inject once daily
Food Poisoning,"Fever, Loss of taste/smell",Prednisone,Take 5ml syrup before bedtime
Hepatitis B,"Wheezing, Shortness of breath",Hydroxychloroquine,1 tablet every 12 hours
Dengue,"Red spots on skin, Fever",Ventolin,1 tablet every 12 hours
Hepatitis C,"Persistent cough, Weight loss, Night sweats",Aspirin,Use inhaler as needed
Measles,"Skin rash, Fever",Omeprazole,Use inhaler as needed
Pneumonia,"Frequent urination, Increased thirst",Rifampin,Take with water after meals
Influenza,"Fever, Loss of taste/smell",Doxycycline,Inject once daily
Bronchitis,"Swollen salivary glands, Fever",Cetirizine,Take 5ml syrup before bedtime
Malaria,"Sneezing, Sore throat",Zinc Sulfate,Apply cream twice a day
Common Cold,"Sneezing, Sore throat",Azithromycin,1 capsule every morning with food
Measles,"Sneezing, Sore throat",Ventolin,Use inhaler as needed
Pneumonia,"Skin rash, Fever",Omeprazole,Take with water after meals
Hepatitis C,"Sneezing, Sore throat",Chloroquine,Take 1 tablet every 6 hours
Asthma,"Red spots on skin, Fever",Azithromycin,Take 1 tablet every 6 hours
Hepatitis C,"Persistent cough, Weight loss, Night sweats",Prednisone,Take 5ml syrup before bedtime
Malaria,"Swollen salivary glands, Fever",Isoniazid,Take 5ml syrup before bedtime
Dengue,"Fever, Loss of taste/smell",Isoniazid,Use inhaler as needed
Diabetes,"Sneezing, Sore throat",Aspirin,Use inhaler as needed
COVID-19,"Nausea, Vomiting, Diarrhea",Paracetamol,Take before sleep
Mumps,"Skin rash, High fever, Bleeding gums",Ibuprofen,Take 5ml syrup before bedtime
Hypertension,"Headache, Dizziness, Blurred vision",Metformin,1 tablet every 12 hours
Hepatitis C,"Abdominal pain, High fever, Loss of appetite",Vitamin C,1 capsule every morning with food
Hepatitis C,"Headache, Dizziness, Blurred vision",Ibuprofen,Take 5ml syrup before bedtime
Hypertension,"Persistent cough, Weight loss, Night sweats",Metformin,1 capsule every morning with food
Common Cold,"Jaundice, Dark urine, Fatigue",Methotrexate,Use inhaler as needed
Hypertension,"Sneezing, Sore throat",Zinc Sulfate,Take 1 tablet every 6 hours
Bronchitis,"Sneezing, Sore throat",Artemether,Use inhaler as needed
Diabetes,"Red spots on skin, Fever",Cetirizine,Take 5ml syrup before bedtime
Sinusitis,"Jaundice, Dark urine, Fatigue",Aspirin,Use inhaler as needed
Mumps,"Sneezing, Sore throat",Omeprazole,1 tablet every 12 hours
Chickenpox,"Facial pain, Runny nose, Headache",Amoxicillin,1 tablet every 12 hours
Migraine,"Frequent urination, Increased thirst",Azithromycin,1 tablet every 12 hours
Dengue,"Skin rash, Fever",Hydroxychloroquine,Take before sleep
Arthritis,"Joint pain, Swelling",Ventolin,Take 5ml syrup before bedtime
Mumps,"Joint pain, Swelling",Losartan,Take with water after meals
Mumps,"Chills, Sweating, Muscle pain",Ibuprofen,Use inhaler as needed
COVID-19,"Skin rash, High fever, Bleeding gums",Artemether,Take 2 tablets daily after meals
Hepatitis C,"Skin rash, High fever, Bleeding gums",Aspirin,Use inhaler as needed
Asthma,"Fever, Loss of taste/smell",Amoxicillin,Take 5ml syrup before bedtime
Hepatitis B,"Shortness of breath, Chest pain",Methotrexate,Take 1 tablet every 6 hours
COVID-19,"Fever, Loss of taste/smell",Ibuprofen,1 tablet every 12 hours
Arthritis,"Cough, Mucus production",Aspirin,Take before sleep
Arthritis,"Headache, Dizziness, Blurred vision",Cetirizine,Take 1 tablet every 6 hours
Tuberculosis,"Red spots on skin, Fever",Doxycycline,Take 1 tablet every 6 hours
Malaria,"Frequent urination, Increased thirst",Rifampin,Use inhaler as needed
Arthritis,"Fever, Loss of taste/smell",Artemether,Inject once daily
Arthritis,"Skin rash, High fever, Bleeding gums",Isoniazid,Take 1 tablet every 6 hours
Hepatitis C,"Fever, Loss of taste/smell",Ventolin,Inject once daily
Food Poisoning,"Joint pain, Swelling",Losartan,Take 5ml syrup before bedtime
Diabetes,"Headache, Dizziness, Blurred vision",Ventolin,Take 5ml syrup before bedtime
Hepatitis B,"Persistent cough, Weight loss, Night sweats",Vitamin C,Take with water after meals
Tuberculosis,"Sneezing, Sore throat",Methotrexate,Take with water after meals
Tuberculosis,"Persistent cough, Weight loss, Night sweats",Prednisone,Take before sleep
Malaria,"Shortness of breath, Chest pain",Metformin,Inject once daily
Hepatitis C,"Facial pain, Runny nose, Headache",Azithromycin,Take 2 tablets daily after meals
Migraine,"Chills, Sweating, Muscle pain",Losartan,Apply cream twice a day
Mumps,"Frequent urination, Increased thirst",Isoniazid,Take before sleep
Mumps,"Shortness of breath, Chest pain",Loratadine,Inject once daily
Sinusitis,"Fever, Loss of taste/smell",Artemether,1 capsule every morning with food
Common Cold,"Skin rash, High fever, Bleeding gums",Hydroxychloroquine,Take with water after meals
Diabetes,"Nausea, Vomiting, Diarrhea",Cetirizine,Take 2 tablets daily after meals
Influenza,"Nausea, Sensitivity to light",Aspirin,Take 1 tablet every 6 hours
Asthma,"Wheezing, Shortness of breath",Cetirizine,Inject once daily
Pneumonia,"Shortness of breath, Chest pain",Isoniazid,Inject once daily
Influenza,"Skin rash, High fever, Bleeding gums",Azithromycin,1 capsule every morning with food
Typhoid,"Wheezing, Shortness of breath",Ibuprofen,Take 5ml syrup before bedtime
Measles,"Fever, Cough, Fatigue",Doxycycline,1 capsule every morning with food
Food Poisoning,"Fever, Loss of taste/smell",Isoniazid,Take before sleep
Asthma,"Skin rash, High fever, Bleeding gums",Amoxicillin,1 capsule every morning with food
Dengue,"Facial pain, Runny nose, Headache",Amoxicillin,Take 5ml syrup before bedtime
Dengue,"Persistent cough, Weight loss, Night sweats",Cetirizine,1 capsule every morning with food
Food Poisoning,"Fever, Cough, Fatigue",Vitamin C,Take 1 tablet every 6 hours
Food Poisoning,"Headache, Dizziness, Blurred vision",Azithromycin,Use inhaler as needed
Hepatitis C,"Abdominal pain, High fever, Loss of appetite",Methotrexate,Use inhaler as needed
Diabetes,"Skin rash, High fever, Bleeding gums",Amoxicillin,Use inhaler as needed
Typhoid,"Swollen salivary glands, Fever",Prednisone,Take 2 tablets daily after meals
Common Cold,"Headache, Dizziness, Blurred vision",Artemether,Apply cream twice a day
Diabetes,"Jaundice, Dark urine, Fatigue",Doxycycline,1 capsule every morning with food
Mumps,"Persistent cough, Weight loss, Night sweats",Loratadine,Take 5ml syrup before bedtime
Arthritis,"Facial pain, Runny nose, Headache",Losartan,Apply cream twice a day
Migraine,"Nausea, Sensitivity to light",Azithromycin,Take with water after meals
Diabetes,"Swollen salivary glands, Fever",Cetirizine,1 capsule every morning with food
COVID-19,"Nausea, Sensitivity to light",Ibuprofen,1 tablet every 12 hours
Migraine,"Skin rash, Fever",Isoniazid,Take before sleep
Food Poisoning,"Facial pain, Runny nose, Headache",Zinc Sulfate,Take 2 tablets daily after meals
Asthma,"Red spots on skin, Fever",Azithromycin,Take 5ml syrup before bedtime
Pneumonia,"Sneezing, Sore throat",Ibuprofen,Take before sleep
Typhoid,"Skin rash, Fever",Aspirin,Take with water after meals
Diabetes,"Cough, Mucus production",Amoxicillin,Inject once daily
Bronchitis,"Nausea, Vomiting, Diarrhea",Metformin,Take with water after meals
Hepatitis C,"Jaundice, Dark urine, Fatigue",Artemether,1 tablet every 12 hours
COVID-19,"Red spots on skin, Fever",Artemether,Take 5ml syrup before bedtime
Migraine,"Abdominal pain, High fever, Loss of appetite",Cetirizine,Inject once daily
Sinusitis,"Sneezing, Sore throat",Doxycycline,Take before sleep
Hepatitis C,"Abdominal pain, High fever, Loss of appetite",Hydroxychloroquine,Take before sleep
Malaria,"Sneezing, Sore throat",Amoxicillin,Inject once daily
Hypertension,"Frequent urination, Increased thirst",Losartan,Take before sleep
COVID-19,"Fever, Cough, Fatigue",Doxycycline,Inject once daily
Measles,"Persistent cough, Weight loss, Night sweats",Zinc Sulfate,Use inhaler as needed
Hepatitis B,"Skin rash, Fever",Losartan,Inject once daily
COVID-19,"Skin rash, Fever",Hydroxychloroquine,Take before sleep
Influenza,"Nausea, Vomiting, Diarrhea",Vitamin C,Take with water after meals
Hypertension,"Shortness of breath, Chest pain",Hydroxychloroquine,Take 1 tablet every 6 hours
Arthritis,"Chills, Sweating, Muscle pain",Vitamin C,Use inhaler as needed
Mumps,"Headache, Dizziness, Blurred vision",Amoxicillin,Use inhaler as needed
Common Cold,"Joint pain, Swelling",Paracetamol,Inject once daily
Common Cold,"Facial pain, Runny nose, Headache",Methotrexate,Inject once daily
Dengue,"Fever, Loss of taste/smell",Prednisone,Use inhaler as needed
Mumps,"Wheezing, Shortness of breath",Ventolin,Apply cream twice a day
Typhoid,"Abdominal pain, High fever, Loss of appetite",Paracetamol,Take 5ml syrup before bedtime
Bronchitis,"Skin rash, High fever, Bleeding gums",Prednisone,Take 1 tablet every 6 hours
Hepatitis B,"Chills, Sweating, Muscle pain",Doxycycline,Take with water after meals
Arthritis,"Skin rash, High fever, Bleeding gums",Zinc Sulfate,1 capsule every morning with food
Pneumonia,"Cough, Mucus production",Chloroquine,Take before sleep
Hepatitis C,"Skin rash, High fever, Bleeding gums",Prednisone,Take 2 tablets daily after meals
Tuberculosis,"Chills, Sweating, Muscle pain",Losartan,Take 2 tablets daily after meals
Sinusitis,"Chills, Sweating, Muscle pain",Losartan,Take with water after meals
Influenza,"Wheezing, Shortness of breath",Azithromycin,Apply cream twice a day
Malaria,"Persistent cough, Weight loss, Night sweats",Losartan,Take before sleep
Diabetes,"Skin rash, High fever, Bleeding gums",Prednisone,Use inhaler as needed
Food Poisoning,"Sneezing, Sore throat",Loratadine,Take 1 tablet every 6 hours
Sinusitis,"Jaundice, Dark urine, Fatigue",Methotrexate,Take 1 tablet every 6 hours
Diabetes,"Skin rash, High fever, Bleeding gums",Vitamin C,Use inhaler as needed
Influenza,"Cough, Mucus production",Loratadine,Take 5ml syrup before bedtime
Common Cold,"Red spots on skin, Fever",Isoniazid,Take 2 tablets daily after meals
Diabetes,"Fever, Cough, Fatigue",Isoniazid,Take 1 tablet every 6 hours
Hypertension,"Swollen salivary glands, Fever",Omeprazole,Apply cream twice a day
Influenza,"Facial pain, Runny nose, Headache",Azithromycin,1 tablet every 12 hours
Bronchitis,"Skin rash, Fever",Cetirizine,1 capsule every morning with food
Hypertension,"Wheezing, Shortness of breath",Zinc Sulfate,Take before sleep
Pneumonia,"Frequent urination, Increased thirst",Zinc Sulfate,Take before sleep
Food Poisoning,"Shortness of breath, Chest pain",Metformin,Take with water after meals
Food Poisoning,"Cough, Mucus production",Doxycycline,Inject once daily
Bronchitis,"Joint pain, Swelling",Cetirizine,1 capsule every morning with food
Mumps,"Sneezing, Sore throat",Artemether,Use inhaler as needed
Diabetes,"Nausea, Sensitivity to light",Ibuprofen,Take with water after meals
Malaria,"Sneezing, Sore throat",Prednisone,1 capsule every morning with food
Diabetes,"Headache, Dizziness, Blurred vision",Rifampin,Use inhaler as needed
Influenza,"Skin rash, Fever",Vitamin C,Inject once daily
